Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
645.8613,-0.04980469,0.703125,-0.06640625,1.5,-1.25,0.03125,0.08886719,0.8154297,-0.07519531,0.15625,-0.9375,-1,188.5351,179.3297
645.8639,-0.04980469,0.703125,-0.06640625,1.5,-1.25,0.03125,0.08886719,0.8154297,-0.07519531,0.15625,-0.9375,-1,188.5351,179.3297
645.8878,-0.04980469,0.703125,-0.06640625,1.5,-1.25,0.03125,0.08886719,0.8154297,-0.07519531,0.15625,-0.9375,-1,188.3552,179.6131
645.921,-0.04980469,0.703125,-0.06640625,1.5,-1.25,0.03125,0.07324219,0.7763672,-0.1054688,0.34375,-1.1875,-0.4375,187.468,179.6131
645.9545,-0.1044922,0.8466797,-0.009765625,0.84375,-1.125,0,0.07324219,0.7763672,-0.1054688,0.34375,-1.1875,-0.4375,187.468,179.4273
645.9882,-0.1044922,0.8466797,-0.009765625,0.84375,-1.125,0,0.07324219,0.7763672,-0.1054688,0.34375,-1.1875,-0.4375,187.468,179.4273
646.0226,-0.1044922,0.8466797,-0.009765625,0.84375,-1.125,0,0.04785156,0.6523438,-0.1953125,0.09375,0.15625,-1.0625,187.8739,179.2426
646.0554,-0.1435547,0.5556641,-0.1269531,0.71875,0.40625,-1.25,0.04785156,0.6523438,-0.1953125,0.09375,0.15625,-1.0625,187.8739,179.2426
646.0883,-0.1435547,0.5556641,-0.1269531,0.71875,0.40625,-1.25,0.02246094,0.6962891,-0.09179688,0.09375,-1,0.09375,187.8739,180.2163
646.1223,-0.1435547,0.5556641,-0.1269531,0.71875,0.40625,-1.25,0.02246094,0.6962891,-0.09179688,0.09375,-1,0.09375,187.9948,180.2163
646.1559,0.125,0.7119141,-0.1181641,-0.125,-0.875,0.65625,-0.05664063,0.6484375,-0.1875,0.34375,-0.6875,-0.9375,187.9948,180.2163
646.1891,0.125,0.7119141,-0.1181641,-0.125,-0.875,0.65625,-0.05664063,0.6484375,-0.1875,0.34375,-0.6875,-0.9375,187.9948,180.6784
646.2231,0.125,0.7119141,-0.1181641,-0.125,-0.875,0.65625,0.02246094,0.6708984,-0.06054688,0.28125,-0.0625,-0.375,187.4411,180.6784
646.2562,0.002929688,0.7685547,-0.1865234,0.09375,0.34375,-0.3125,0.02246094,0.6708984,-0.06054688,0.28125,-0.0625,-0.375,187.4411,180.3675
646.2902,0.002929688,0.7685547,-0.1865234,0.09375,0.34375,-0.3125,-0.06835938,0.8105469,-0.1074219,0.53125,0.40625,-0.4375,187.4411,180.3675
646.3231,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,-0.06835938,0.8105469,-0.1074219,0.53125,0.40625,-0.4375,187.8187,180.6347
646.3568,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,0.03125,0.8300781,-0.1533203,0.53125,-0.75,-0.3125,187.8187,180.6347
646.39,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,0.03125,0.8300781,-0.1533203,0.53125,-0.75,-0.3125,188.2008,180.4455
646.3933,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,0.03125,0.8300781,-0.1533203,0.53125,-0.75,-0.3125,188.2008,180.4455
646.4261,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,0.01953125,0.8066406,-0.1191406,-0.375,-0.25,0.03125,188.2008,180.9336
646.4623,-0.1679688,0.6826172,-0.1201172,0.59375,-0.3125,0.40625,0.01953125,0.8066406,-0.1191406,-0.375,-0.25,0.03125,188.2008,180.9336
646.4927,-0.04882813,0.6054688,-0.03808594,0.28125,-0.125,-0.6875,0.01953125,0.8066406,-0.1191406,-0.375,-0.25,0.03125,187.8417,180.9336
646.5281,-0.04882813,0.6054688,-0.03808594,0.28125,-0.125,-0.6875,0.01953125,0.8066406,-0.1191406,-0.375,-0.25,0.03125,187.8417,180.9336
646.5609,0.05175781,0.6962891,-0.1455078,0.34375,-0.875,-0.0625,0.01953125,0.8066406,-0.1191406,-0.375,-0.25,0.03125,188.0318,180.6339
646.5936,0.05175781,0.6962891,-0.1455078,0.34375,-0.875,-0.0625,0.05273438,0.6855469,-0.1044922,-0.1875,-0.0625,0.59375,188.0318,180.6339
646.6268,-0.07421875,0.7636719,-0.1035156,-1.59375,1.15625,-0.0625,0.05273438,0.6855469,-0.1044922,-0.1875,-0.0625,0.59375,188.0318,180.6443
646.6611,-0.07421875,0.7636719,-0.1035156,-1.59375,1.15625,-0.0625,0.0703125,0.7148438,-0.1191406,-0.125,0.03125,-0.1875,188.325,180.6443
646.6952,-0.07421875,0.7636719,-0.1035156,-1.59375,1.15625,-0.0625,0.0703125,0.7148438,-0.1191406,-0.125,0.03125,-0.1875,188.325,180.6443
646.7271,0.005859375,0.6513672,-0.03613281,-0.125,0.46875,1.15625,-0.0625,0.7705078,-0.1533203,0.03125,0.59375,-0.25,188.325,181.1681
646.7601,0.005859375,0.6513672,-0.03613281,-0.125,0.46875,1.15625,-0.0625,0.7705078,-0.1533203,0.03125,0.59375,-0.25,187.9042,181.1681
646.7947,0.005859375,0.6513672,-0.03613281,-0.125,0.46875,1.15625,-0.1376953,0.7197266,-0.1269531,0.46875,0.21875,0.40625,187.8632,180.7026
646.8289,-0.1416016,0.6201172,-0.03808594,-1.34375,-0.5,0.59375,-0.02636719,0.8310547,-0.1230469,-0.3125,-0.625,-0.75,187.8632,181.2394
646.8608,-0.1416016,0.6201172,-0.03808594,-1.34375,-0.5,0.59375,-0.02636719,0.8310547,-0.1230469,-0.3125,-0.625,-0.75,187.6514,181.4403
646.8948,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.046875,0.6777344,-0.09277344,-0.25,-0.4375,-0.5,187.6514,181.4403
646.9279,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.046875,0.6777344,-0.09277344,-0.25,-0.4375,-0.5,187.6514,181.4403
646.9609,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.1357422,0.8662109,-0.1640625,0.40625,-0.125,-0.0625,187.1618,181.5019
646.9959,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.1357422,0.8662109,-0.1640625,0.40625,-0.125,-0.0625,187.1618,181.5019
647.0281,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.1618,180.4997
647.0614,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.1618,180.4997
647.0954,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.4697,180.7616
647.1304,-0.0625,0.6533203,-0.01953125,0.59375,-2.09375,0.09375,0.1416016,0.7226563,-0.1865234,0.15625,-1.125,0.09375,187.4697,180.7616
647.1616,-0.0625,0.6533203,-0.01953125,0.59375,-2.09375,0.09375,0.1416016,0.7226563,-0.1865234,0.15625,-1.125,0.09375,187.3542,180.7616
647.196,-0.125,0.8037109,-0.0625,0.65625,-0.375,-0.25,0.02734375,0.7685547,-0.04296875,-0.375,-1.0625,0.09375,187.3542,180.5214
