Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
164.6754,-0.09570313,0.9550781,0.06542969,-0.125,-1.25,-1,0.1650391,1.045898,0.009765625,0.34375,0.09375,-0.4375,181.0806,179.1665
164.6791,-0.09570313,0.9550781,0.06542969,-0.125,-1.25,-1,0.1650391,1.045898,0.009765625,0.34375,0.09375,-0.4375,181.0806,179.1665
164.6973,-0.09570313,0.9550781,0.06542969,-0.125,-1.25,-1,0.1650391,1.045898,0.009765625,0.34375,0.09375,-0.4375,181.6587,180.2134
164.7307,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1650391,1.045898,0.009765625,0.34375,0.09375,-0.4375,181.6587,180.2134
164.7645,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1767578,1.046875,0.08691406,-1.1875,-1.25,-0.4375,181.6587,180.5552
164.7986,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1767578,1.046875,0.08691406,-1.1875,-1.25,-0.4375,181.6587,180.5552
164.8314,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1767578,1.046875,0.08691406,-1.1875,-1.25,-0.4375,181.6587,180.5552
164.8655,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1464844,1.008789,0.01464844,-1.84375,-1.71875,-0.8125,181.2419,180.5552
164.8989,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1464844,1.008789,0.01464844,-1.84375,-1.71875,-0.8125,181.2419,180.2545
164.9323,-0.004882813,1.039063,-0.005859375,0.28125,-0.75,0.53125,0.1464844,1.008789,0.01464844,-1.84375,-1.71875,-0.8125,181.2419,180.2545
164.9651,-0.1484375,1.223633,0.05566406,-0.6875,0.59375,-0.5,0.203125,1.054688,0.03613281,-2.6875,0.53125,-2.03125,181.2419,180.2545
164.9992,-0.1484375,1.223633,0.05566406,-0.6875,0.59375,-0.5,0.203125,1.054688,0.03613281,-2.6875,0.53125,-2.03125,181.2419,179.3313
