Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
356.5537,0.2236328,0.9990234,-0.1054688,-0.75,4.875,-1.46875,-0.004882813,0.8085938,-0.1894531,-0.9375,-1.96875,-1.53125,179.8973,184.6113
356.5863,0.2285156,0.9951172,-0.1572266,-0.9375,2.1875,-0.375,-0.004882813,0.8085938,-0.1894531,-0.9375,-1.96875,-1.53125,180.7666,184.7492
356.617,0.1513672,1.009766,-0.008789063,1.03125,-1.46875,-0.9375,-0.004882813,0.8085938,-0.1894531,-0.9375,-1.96875,-1.53125,180.7666,184.7492
356.6536,0.1513672,1.009766,-0.008789063,1.03125,-1.46875,-0.9375,-0.005859375,0.8359375,-0.2373047,-0.375,0.15625,-0.75,180.7666,185.3055
356.6863,0.1513672,1.009766,-0.008789063,1.03125,-1.46875,-0.9375,-0.1777344,0.8476563,-0.2558594,0.03125,-2.21875,-1.25,180.4889,185.3055
356.7176,0.3222656,0.9892578,-0.05273438,0.09375,-2.625,0.09375,-0.1777344,0.8476563,-0.2558594,0.03125,-2.21875,-1.25,180.4889,185.3055
356.7534,0.3222656,0.9892578,-0.05273438,0.09375,-2.625,0.09375,-0.1054688,0.7148438,-0.3173828,2.375,-1,-1.90625,180.4889,185.255
356.7872,0.2128906,0.9941406,-0.0078125,0.15625,-4.78125,-1,-0.1054688,0.7148438,-0.3173828,2.375,-1,-1.90625,180.8961,185.1012
356.8189,0.2128906,0.9941406,-0.0078125,0.15625,-4.78125,-1,-0.08007813,0.7265625,-0.2099609,1.5,-1,-2.8125,180.8961,185.1012
356.8534,0.2128906,0.9941406,-0.0078125,0.15625,-4.78125,-1,-0.08007813,0.7265625,-0.2099609,1.5,-1,-2.8125,181.1268,185.1012
356.8865,0.2255859,0.9707031,-0.07421875,0.90625,-2.75,-1.125,-0.08007813,0.7265625,-0.2099609,1.5,-1,-2.8125,181.1268,185.2002
356.9183,0.2255859,0.9707031,-0.07421875,0.90625,-2.75,-1.125,-0.2382813,0.7646484,-0.2724609,0.53125,-2.59375,-2.09375,181.1268,185.2002
356.9554,0.2255859,0.9707031,-0.07421875,0.90625,-2.75,-1.125,-0.09570313,0.7402344,-0.2783203,0.21875,-0.5625,-1.25,182.2664,185.4313
356.9869,0.1953125,0.9882813,-0.00390625,1.4375,-3.3125,0.34375,-0.09570313,0.7402344,-0.2783203,0.21875,-0.5625,-1.25,182.2664,185.4857
357.0189,0.1953125,0.9882813,-0.00390625,1.4375,-3.3125,0.34375,-0.09570313,0.7402344,-0.2783203,0.21875,-0.5625,-1.25,182.2664,185.4857
357.0532,0.2539063,0.9091797,-0.05273438,0,-1.59375,0.28125,-0.09570313,0.7402344,-0.2783203,0.21875,-0.5625,-1.25,181.8563,185.4857
357.0871,0.2539063,0.9091797,-0.05273438,0,-1.59375,0.28125,-0.09570313,0.7402344,-0.2783203,0.21875,-0.5625,-1.25,181.7125,185.4857
357.1193,0.2041016,0.9609375,-0.05761719,0.28125,-0.6875,-0.375,-0.08398438,0.8232422,-0.2607422,0.21875,-0.5625,-1.25,181.7125,185.4857
357.1566,0.2041016,0.9609375,-0.05761719,0.28125,-0.6875,-0.375,-0.07617188,0.7929688,-0.2177734,-2.40625,-2.40625,0.09375,181.7125,185.1692
357.1887,0.2041016,0.9609375,-0.05761719,0.28125,-0.6875,-0.375,-0.1074219,0.7919922,-0.2021484,-1.53125,-3.25,1.09375,181.8642,185.1692
