Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
445.3502,0.3554688,0.8535156,-0.09082031,-1.25,-0.25,0.40625,-0.1181641,0.8330078,-0.3457031,-1.40625,-3.90625,-0.0625,181.7693,181.4641
445.3839,0.3808594,0.9648438,-0.1435547,-0.9375,0.46875,-0.6875,0.00390625,0.7626953,-0.3857422,-1.46875,-1.78125,-0.4375,181.7851,181.4641
445.4177,0.3808594,0.9648438,-0.1435547,-0.9375,0.46875,-0.6875,0.00390625,0.7626953,-0.3857422,-1.46875,-1.78125,-0.4375,181.7851,181.4641
445.4506,0.3808594,0.9648438,-0.1435547,-0.9375,0.46875,-0.6875,0.01855469,0.7519531,-0.3320313,0.15625,-1.78125,-0.375,181.7851,181.4009
445.4841,0.4453125,0.9453125,-0.1318359,-2.09375,-2.53125,-1.1875,-0.005859375,0.8105469,-0.3125,-1.78125,-2.875,-0.75,181.4314,180.9899
445.5176,0.4453125,0.9453125,-0.1318359,-2.09375,-2.53125,-1.1875,-0.005859375,0.8105469,-0.3125,-1.78125,-2.875,-0.75,181.4314,180.9899
445.5509,0.4453125,0.9453125,-0.1318359,-2.09375,-2.53125,-1.1875,-0.005859375,0.8105469,-0.3125,-1.78125,-2.875,-0.75,181.4314,180.9899
445.5847,0.3984375,0.9931641,-0.08984375,-1.46875,-0.4375,-0.1875,-0.005859375,0.8105469,-0.3125,-1.78125,-2.875,-0.75,181.0874,180.7868
445.6179,0.3984375,0.9931641,-0.08984375,-1.46875,-0.4375,-0.1875,-0.09960938,0.7451172,-0.3710938,-0.6875,-1.3125,-1,181.0874,180.7868
445.6515,0.3408203,0.9775391,-0.140625,-2.15625,-2.53125,-0.1875,-0.04492188,0.7509766,-0.3564453,-1.125,-2.59375,-1.25,181.0645,180.8399
445.6852,0.3408203,0.9775391,-0.140625,-2.15625,-2.53125,-0.1875,-0.04492188,0.7509766,-0.3564453,-1.125,-2.59375,-1.25,181.0645,180.8399
445.7182,0.4140625,0.9589844,-0.1601563,0.28125,-0.75,-1.53125,-0.006835938,0.8476563,-0.3251953,-1.34375,-1.78125,-0.5,181.0645,180.7728
445.7517,0.4140625,0.9589844,-0.1601563,0.28125,-0.75,-1.53125,-0.006835938,0.8476563,-0.3251953,-1.34375,-1.78125,-0.5,181.4711,180.7728
445.7857,0.4140625,0.9589844,-0.1601563,0.28125,-0.75,-1.53125,-0.02929688,0.7685547,-0.3164063,-2.40625,-1.59375,-0.6875,181.4711,181.2892
445.8188,0.2597656,0.9404297,-0.1474609,-1.84375,-1.34375,-1.1875,-0.02929688,0.7685547,-0.3164063,-2.40625,-1.59375,-0.6875,181.9068,181.2892
445.8525,0.2597656,0.9404297,-0.1474609,-1.84375,-1.34375,-1.1875,-0.005859375,0.7558594,-0.328125,-1.53125,-1.71875,-0.875,181.9068,181.5294
445.8866,0.3056641,0.9257813,-0.09667969,-0.8125,-1.78125,-0.625,-0.005859375,0.7558594,-0.328125,-1.53125,-1.71875,-0.875,181.9068,181.5294
445.9196,0.3056641,0.9257813,-0.09667969,-0.8125,-1.78125,-0.625,-0.005859375,0.7558594,-0.328125,-1.53125,-1.71875,-0.875,181.7331,181.5294
445.9533,0.3857422,0.9726563,-0.06738281,1.28125,-1.1875,-0.9375,-0.005859375,0.7558594,-0.328125,-1.53125,-1.71875,-0.875,181.7331,181.5294
445.9861,0.3632813,0.890625,-0.1904297,-1.25,-2.53125,-0.6875,-0.001953125,0.7998047,-0.3369141,-1,-0.25,-0.9375,182.1646,180.715
446.0196,0.3632813,0.890625,-0.1904297,-1.25,-2.53125,-0.6875,-0.001953125,0.7998047,-0.3369141,-1,-0.25,-0.9375,182.1646,180.715
446.0534,0.3632813,0.890625,-0.1904297,-1.25,-2.53125,-0.6875,-0.008789063,0.8037109,-0.2695313,-3.0625,-1.59375,-0.75,182.1646,181.6446
446.0873,0.3564453,0.9921875,-0.06640625,-2.09375,-2.21875,-1,-0.1679688,0.7128906,-0.2890625,-0.6875,-2.09375,-1.3125,182.5367,181.8484
446.1205,0.3564453,0.9921875,-0.06640625,-2.09375,-2.21875,-1,-0.1679688,0.7128906,-0.2890625,-0.6875,-2.09375,-1.3125,182.5367,181.8484
