Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
250.0104,0.046875,1.040039,-0.1865234,-2.03125,1.625,0.90625,0.08105469,1.080078,0.08886719,-1,1.4375,1.4375,174.0411,181.8987
250.0439,0.0234375,1.025391,-0.2080078,-1.40625,0.34375,0.84375,0.05761719,1.037109,0.04882813,-0.625,0.53125,1.875,174.0411,181.4771
250.0769,0.0234375,1.025391,-0.2080078,-1.40625,0.34375,0.84375,0.05761719,1.037109,0.04882813,-0.625,0.53125,1.875,174.0411,181.4771
250.1107,0.0234375,1.025391,-0.2080078,-1.40625,0.34375,0.84375,0.05761719,1.037109,0.04882813,-0.625,0.53125,1.875,173.7458,181.275
250.1451,0.1191406,1.018555,-0.1923828,1.625,2.84375,1.5,0.2177734,0.9443359,-0.09960938,-2.875,1.5,-0.25,173.7458,181.275
250.1776,0.1191406,1.018555,-0.1923828,1.625,2.84375,1.5,0.2177734,0.9443359,-0.09960938,-2.875,1.5,-0.25,173.6787,181.275
250.2111,0.140625,0.9970703,-0.265625,0,1.9375,0.90625,0.2177734,0.9443359,-0.09960938,-2.875,1.5,-0.25,173.6787,181.2649
250.2446,0.140625,0.9970703,-0.265625,0,1.9375,0.90625,0.1914063,1.113281,-0.05566406,-5.4375,0.78125,-0.5625,173.6787,181.2649
250.2782,0.1025391,1.063477,-0.2255859,-3.5,0.53125,0.84375,0.1914063,1.113281,-0.05566406,-5.4375,0.78125,-0.5625,174.0789,181.2649
250.3125,0.1025391,1.063477,-0.2255859,-3.5,0.53125,0.84375,0.2275391,0.8828125,-0.046875,-0.25,2.125,1.09375,173.5102,181.6512
250.3447,0.2089844,1.000977,-0.2978516,-0.625,2.375,1.03125,0.2275391,0.8828125,-0.046875,-0.25,2.125,1.09375,174.1865,181.6512
250.3476,0.2089844,1.000977,-0.2978516,-0.625,2.375,1.03125,0.2275391,0.8828125,-0.046875,-0.25,2.125,1.09375,174.1865,180.9096
250.3814,0.2089844,1.000977,-0.2978516,-0.625,2.375,1.03125,0.06542969,0.9482422,-0.1757813,-1.84375,-1.34375,0.78125,174.1865,180.9096
250.4145,0.2089844,1.000977,-0.2978516,-0.625,2.375,1.03125,0.06542969,0.9482422,-0.1757813,-1.84375,-1.34375,0.78125,174.8805,180.9096
250.4476,0.2607422,0.9462891,-0.328125,0.28125,1.3125,4.5625,0.06542969,0.9482422,-0.1757813,-1.84375,-1.34375,0.78125,175.4166,180.6969
250.4819,0.1230469,1.097656,-0.2763672,2.78125,-5.8125,8.15625,0.1494141,1.174805,0.04296875,-6.4375,1.375,-1.46875,175.4166,180.6969
